"filename", "language", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "JavaScript JSX", "TypeScript", "CSS", "JavaScript", "Draw.io", "Markdown", "comment", "blank", "total"
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/AssistPapersTable.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ChatSourceSidebar.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 5, 47
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/HorizontalNav.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ModeToggle.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/PaperForm/PaperForm.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/PapersTable.tsx", "TypeScript JSX", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 6, 67
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/PromptSubmissionForm.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 5, 10, 111
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/RichTextEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 7, 45
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/SourcesTab.tsx", "TypeScript JSX", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 6, 17, 128
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/TextViewer.tsx", "TypeScript JSX", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 12, 74
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/theme-provider.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 10, 93
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 19, 258
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 12, 169
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/sonner.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/db_service.ts", "TypeScript", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 27, 29, 215
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/llmService.ts", "TypeScript", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 31, 20, 236
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/parse_incoming_docs.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/parse_pdf.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/search.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 4, 21
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 3, 20
"/home/ishaan/Documents/projects/Raisearch/raisearch/tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/ishaan/Documents/projects/Raisearch/raisearch/utils/supabase/client.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/home/ishaan/Documents/projects/Raisearch/raisearch/utils/supabase/middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 17, 9, 68
"/home/ishaan/Documents/projects/Raisearch/raisearch/utils/supabase/server.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 3, 30
"Total", "-", 4842, 34, 1679, 5, 37, 672, 125, 4, 573, 6, 221, 509, 8707
